ask.fmt,postMarketChangePercent.fmt,averageDailyVolume10Day.raw,marketCap.fmt,financialCurrency,fiftyTwoWeekChangePercent.fmt,fiftyTwoWeekRange.raw,fiftyTwoWeekLow.fmt,regularMarketChangePercent.fmt,Name,market,bidSize.fmt,exchangeDataDelayedBy,sharesOutstanding.longFmt,region,sharesOutstanding.raw,marketCap.raw,fiftyTwoWeekChangePercent.raw,quoteType,hasPrePostMarketData,fiftyTwoWeekLow.raw,fiftyTwoWeekHighChangePercent.raw,message,trailingAnnualDividendYield.raw,twoHundredDayAverageChange.fmt,sourceInterval,fiftyTwoWeekHighChange.fmt,priceHint,earningsTimestampStart.raw,regularMarketDayHigh.fmt,fiftyDayAverageChange.fmt,dividendRate.fmt,epsForward.raw,fiftyTwoWeekLowChangePercent.raw,twoHundredDayAverageChange.raw,askSize.fmt,regularMarketOpen.raw,dividendYield.fmt,forwardPE.raw,fullExchangeName,averageDailyVolume3Month.raw,bookValue.fmt,nameChangeDate,fiftyTwoWeekHighChange.raw,marketState,bookValue.raw,postMarketPrice.fmt,postMarketPrice.raw,earningsTimestampEnd.raw,epsTrailingTwelveMonths.raw,ask.raw,trailingAnnualDividendRate.fmt,fiftyTwoWeekRange.fmt,dividendYield.raw,fiftyDayAverage.fmt,epsCurrentYear.fmt,postMarketChangePercent.raw,dividendDate.longFmt,regularMarketChangePercent.raw,exchangeTimezoneName,header,exchange,bidSize.longFmt,regularMarketDayLow.raw,trailingPE.raw,regularMarketChange.fmt,regularMarketDayLow.fmt,trailingPE.fmt,regularMarketPreviousClose.raw,earningsTimestampEnd.longFmt,meta.amount,tradeable,triggerable,epsForward.fmt,bid.raw,typeDisp,meta.eventType,averageDailyVolume10Day.fmt,regularMarketDayHigh.raw,earningsTimestamp.longFmt,Name,fiftyTwoWeekLowChange.raw,earningsCallTimestampStart.fmt,epsTrailingTwelveMonths.fmt,averageDailyVolume3Month.fmt,messageBoardId,fiftyTwoWeekLowChange.fmt,customPriceAlertConfidence,earningsTimestampEnd.fmt,prevName,regularMarketDayRange.raw,regularMarketPrice.fmt,earningsCallTimestampStart.raw,priceEpsCurrentYear.raw,language,exchangeTimezoneShortName,ipoExpectedDate,forwardPE.fmt,trailingAnnualDividendYield.fmt,meta.dateEpochMs,postMarketTime.fmt,fiftyDayAverageChangePercent.raw,dividendRate.raw,fiftyTwoWeekHighChangePercent.fmt,earningsTimestampStart.longFmt,bid.fmt,postMarketTime.raw,currency,Ticker,regularMarketTime.fmt,earningsTimestampStart.fmt,gmtOffSetMilliseconds,fiftyDayAverage.raw,postMarketChange.fmt,askSize.longFmt,bidSize.raw,regularMarketChange.raw,twoHundredDayAverageChangePercent.fmt,epsCurrentYear.raw,regularMarketPreviousClose.fmt,averageDailyVolume3Month.longFmt,regularMarketOpen.fmt,earningsCallTimestampEnd.raw,earningsTimestamp.raw,askSize.raw,fiftyTwoWeekHigh.fmt,meta.splitRatio,fiftyDayAverageChange.raw,regularMarketVolume.raw,averageDailyVolume10Day.longFmt,twoHundredDayAverageChangePercent.raw,sharesOutstanding.fmt,postMarketChange.raw,fiftyTwoWeekHigh.raw,fiftyTwoWeekLowChangePercent.fmt,twoHundredDayAverage.fmt,averageAnalystRating,earningsCallTimestampEnd.longFmt,firstTradeDateMilliseconds,earningsTimestamp.fmt,earningsCallTimestampEnd.fmt,priceToBook.raw,regularMarketPrice.raw,priceEpsCurrentYear.fmt,cryptoTradeable,regularMarketVolume.fmt,dividendDate.raw,quoteSourceName,earningsCallTimestampStart.longFmt,regularMarketVolume.longFmt,trailingAnnualDividendRate.raw,priceToBook.fmt,twoHundredDayAverage.raw,marketCap.longFmt,regularMarketDayRange.fmt,isEarningsDateEstimate,fiftyDayAverageChangePercent.fmt,regularMarketTime.raw,dividendDate.fmt,displayName
0.61,,11750,226.571B,CNY,-6.56%,0.5 - 0.64,0.5000,0.00%,"Bank of China, Ltd.",us_market,"3,000",0,"83,622,276,395",US,83622276395.0,226570846208.0,-6.557375,EQUITY,False,0.5,-0.10937499,,0.4052632,-0.01,15,-0.07,4,1774900800.0,0.5500,-0.01,0.03,0.11,0.13999999,-0.008949995,"6,000",0.55,5.65%,5.181818,OTC Markets OTCPK,19925,1.21,,-0.06999999,CLOSED,1.2080145,,,1774900800.0,0.11,0.605,0.23,0.50 - 0.64,5.65,0.58,,,2017-08-08T20:00,0.0,America/New_York,,PNK,"3,000",0.55,5.181818,0.0000,0.5500,5.18,0.57,2026-03-30T16:00,,False,False,0.11,0.5363,Equity,,"11,750",0.55,2026-03-30T16:00,Bank of China Limited,0.06999999,2025-10-28,0.1100,"19,925",finmb_4803422,0.07,LOW,2026-03-30,,0.55 - 0.55,0.5700,1761638400.0,,en-US,EDT,,5.18,40.53%,,,-0.019607818,0.03,-10.94%,2026-03-30T16:00,0.54,,USD,BACHF,4:00PM EDT,2026-03-30,-14400000,0.5814,,"6,000",3000,0.0,-1.55%,,0.5700,"19,925",0.5500,1761638400.0,1774900800.0,6000.0,0.6400,,-0.011399984,50,"11,750",-0.015459012,83.622B,,0.64,14.00%,0.58,,2025-10-28T08:00,1214314200000,2026-03-30,2025-10-28,0.47184864,0.57,,False,50,1502236800.0,Delayed Quote,2025-10-28T08:00,50,0.231,0.47,0.57895,"226,570,846,208",0.55 - 0.55,False,-1.96%,1773432000,2017-08-08,Bank of China
213.02,,94280,224.219B,EUR,-19.77%,212.49 - 294.72,212.49,-2.50%,Hermes International SA,us_market,204,0,"1,048,363,150",US,1048363150.0,224219430912.0,-19.76915,EQUITY,False,212.49,-0.27795872,,0.08247045,-38.86,15,-81.92,2,1770930000.0,218.45,-31.26,2.10,6.43039,0.0014588806,-38.85669,56,218.3,0.99%,33.09286,OTC Markets OTCPK,54950,207.00,,-81.92,CLOSED,207.00316,,,1770930000.0,4.98,213.02,18.00,212.49 - 294.72,0.99,244.06,5.49,,2025-06-01T20:00,-2.5015998,America/New_York,,PNK,204,212.49,42.730923,-5.46,212.49,42.73,218.26,2026-02-12T16:00,,False,False,6.43,212.8,Equity,,"94,280",218.45,2026-02-12T16:00,Hermès International Société en commandite par actions,0.30999756,2026-02-12,4.98,"54,950",finmb_881746,0.31,LOW,2026-02-12,,212.49 - 218.45,212.80,1770930000.0,38.731964,en-US,EDT,,33.09,8.25%,,,-0.12807822,2.1,-27.80%,2026-02-12T16:00,212.80,,USD,HESAY,4:00PM EDT,2026-02-12,-14400000,244.0586,,56,204,-5.4599915,-15.44%,5.49417,218.26,"54,950",218.30,1770930000.0,1770930000.0,56.0,294.72,,-31.25859,17254,"94,280",-0.15440357,1.048B,,294.72,0.15%,251.66,1.3 - Strong Buy,2026-02-12T21:00,1296052200000,2026-02-12,2026-02-12,1.0280037,212.8,38.73,False,"17,254",1748822400.0,Delayed Quote,2026-02-12T21:00,"17,254",18.0,1.03,251.6567,"224,219,430,912",212.49 - 218.45,False,-12.81%,1773432000,2025-06-01,
191.10,-0.19%,3356820,223.352B,EUR,-29.33%,187.94 - 313.28,187.94,-0.29%,SAP  SE,us_market,160,0,"1,167,559,048",US,1167559048.0,223351963648.0,-29.326653,EQUITY,True,187.94,-0.3937053,,0.0131233595,-68.96,15,-123.34,2,1776974400.0,193.25,-25.51,2.97,10.03353,0.010641694,-68.9642,320,191.87,1.56%,18.930525,NYSE,2725635,43.99,,-123.34,CLOSED,43.99295,189.58,189.58,1776974400.0,7.05,191.1,2.50,187.94 - 313.28,1.56,215.45,8.49,-0.18953386,2025-05-22T20:00,-0.293962,America/New_York,,NYQ,160,189.14,26.941843,-0.56,189.14,26.94,190.5,2026-04-23T16:00,,False,False,10.03,189.0,Equity,,3.357M,193.25,2026-04-23T16:00,SAP SE,2.0,2026-04-23,7.05,2.726M,finmb_126475,2.00,LOW,2026-04-23,,189.14 - 193.25,189.94,1776978000.0,22.373915,en-US,EDT,,18.93,1.31%,,8:00PM EDT,-0.11838371,2.97,-39.37%,2026-04-23T16:00,189.00,1773446400.0,USD,SAP,4:00PM EDT,2026-04-23,-14400000,215.4452,-0.36,320,160,-0.559998,-26.64%,8.48935,190.50,"2,725,635",191.87,1776978000.0,1776974400.0,320.0,313.28,,-25.505203,1638879,"3,356,820",-0.26636958,1.168B,-0.3600006,313.28,1.06%,258.90,1.6 - Buy,2026-04-23T21:00,811431000000,2026-04-23,2026-04-23,4.31751,189.94,22.37,False,1.639M,1747958400.0,Delayed Quote,2026-04-23T21:00,"1,638,879",2.5,4.32,258.9042,"223,351,963,648",189.14 - 193.25,False,-11.84%,1773432002,2025-05-22,
191.27,,103530,221.952B,EUR,-28.31%,187.1 - 314.08,187.10,-1.92%,SAP SE,us_market,99,0,"1,167,559,048",US,1167559048.0,221951737856.0,-28.306723,EQUITY,False,187.1,-0.39709625,,0.012948671,-69.09,15,-124.72,2,1776974400.0,190.00,-25.76,2.95,,0.012079072,-69.0894,102,190.0,1.56%,,OTC Markets OTCPK,49693,43.99,,-124.719986,CLOSED,43.99295,,,1776974400.0,7.04,191.27,2.50,187.10 - 314.08,1.56,215.12,,,2020-05-25T20:00,-1.9215863,America/New_York,,PNK,99,189.0,26.897728,-3.71,189.00,26.90,193.07,2026-04-23T16:00,,False,False,,189.0,Equity,,"103,530",190.0,2026-04-23T16:00,SAP SE,2.2599945,2026-04-23,7.04,"49,693",finmb_126475,2.26,LOW,2026-04-23,,189.0 - 190.0,189.36,1776978000.0,,en-US,EDT,,,1.29%,,,-0.119735666,2.95,-39.71%,2026-04-23T16:00,189.00,,USD,SAPGF,4:00PM EDT,2026-04-23,-14400000,215.1172,,102,99,-3.7100067,-26.73%,,193.07,"49,693",190.00,1776978000.0,1776974400.0,102.0,314.08,,-25.757202,672,"103,530",-0.26732275,1.168B,,314.08,1.21%,258.45,,2026-04-23T21:00,826036200000,2026-04-23,2026-04-23,4.304326,189.36,,False,672,1590451200.0,Delayed Quote,2026-04-23T21:00,672,2.5,4.30,258.4494,"221,951,737,856",189.00 - 190.00,False,-11.97%,1773432000,2020-05-25,
159.97,-0.43%,6677690,218.61B,USD,4.97%,127.6 - 171.48,127.60,0.64%,"Pepsico, Inc.",us_market,6,0,"1,366,649,053",US,1366649053.0,218610352128.0,4.968941,EQUITY,True,127.6,-0.067646325,,0.035395946,13.97,15,-11.60,2,1776947400.0,161.51,4.01,5.69,9.13188,0.25297812,13.967758,6,159.78,3.56%,17.507896,NasdaqGS,8215918,14.93,,-11.599991,CLOSED,14.928,159.20,159.2,1776947400.0,6.0,159.97,5.62,127.60 - 171.48,3.56,155.87,8.62,-0.42532393,2026-03-30T20:00,0.642078,America/New_York,,NMS,6,159.24,26.646667,1.02,159.24,26.65,158.86,2026-04-23T08:30,,False,True,9.13,159.64,Equity,,6.678M,161.51,2026-02-03T08:30,"PepsiCo, Inc.",32.280006,2026-02-03,6.00,8.216M,finmb_32854,32.28,HIGH,2026-04-23,,159.24 - 161.51,159.88,1770124500.0,18.540468,en-US,EDT,,17.51,3.54%,,7:56PM EDT,0.025751634,5.69,-6.76%,2026-04-23T08:30,159.64,1773446193.0,USD,PEP,4:00PM EDT,2026-04-23,-14400000,155.8662,-0.68,6,6,1.02,9.57%,8.6233,158.86,"8,215,918",159.78,1770124500.0,1770125400.0,6.0,171.48,,4.013809,4602668,"6,677,690",0.095727116,1.367B,-0.68000793,171.48,25.30%,145.91,2.6 - Hold,2026-02-03T13:15,76253400000,2026-02-03,2026-02-03,10.710075,159.88,18.54,False,4.603M,1774915200.0,Nasdaq Real Time Price,2026-02-03T13:15,"4,602,668",5.623,10.71,145.91225,"218,610,352,128",159.24 - 161.51,True,2.58%,1773432000,2026-03-30,PepsiCo
804.55,-0.07%,2525670,218.418B,USD,150.67%,252.25 - 894.93,252.25,-3.26%,GE Vernova Inc.,us_market,120,0,"269,529,464",US,269529464.0,218418397184.0,150.66574,EQUITY,True,252.25,-0.10046593,"GEV announced a cash dividend of $0.50 with an ex-date of Mar. 17, 2026",0.0015022053,175.50,15,-89.91,2,1776861000.0,845.29,50.84,1.50,22.74059,2.1913579,175.4975,160,832.99,0.19%,35.40014,NYSE,2909076,41.47,2026-03-13,-89.90997,CLOSED,41.472,804.49,804.49,1776861000.0,17.71,804.55,1.25,252.25 - 894.93,0.19,754.18,14.19,-0.06584051,2026-04-13T20:00,-3.25558,America/New_York,Dividend,NYQ,120,802.76,45.455677,-27.09,802.76,45.46,832.11,2026-04-22T08:30,0.50,False,False,22.74,804.0,Equity,DIVIDEND,2.526M,845.29,2026-04-22T08:30,GE Vernova Inc.,552.77,2026-04-22,17.71,2.909M,finmb_1818848396,552.77,LOW,2026-04-22,GE Vernova LLC,802.76 - 845.29,805.02,1776857400.0,56.71172,en-US,EDT,2024-04-02,35.40,0.15%,1773720000000.0,7:59PM EDT,0.06740703,1.5,-10.05%,2026-04-22T08:30,804.00,1773446392.0,USD,GEV,4:00PM EDT,2026-04-22,-14400000,754.1828,-0.53,160,120,-27.09,27.88%,14.19495,832.11,"2,909,076",832.99,1776857400.0,1776861000.0,160.0,894.93,,50.83722,2255903,"2,525,670",0.27877873,269.529M,-0.5300293,894.93,219.14%,629.52,1.5 - Buy,2026-04-22T11:30,1711546200000,2026-04-22,2026-04-22,19.41117,805.02,56.71,False,2.256M,1776124800.0,Nasdaq Real Time Price,2026-04-22T11:30,"2,255,903",1.25,19.41,629.5225,"218,418,397,184",802.76 - 845.29,False,6.74%,1773432002,2026-04-13,GE Vernova
120.87,,57070,203.369B,AUD,30.94%,85.22 - 129.79,85.22,-0.68%,Commonwealth Bank of Australia,us_market,100,0,"1,672,123,722",US,1672123722.0,203369005056.0,30.941845,EQUITY,False,85.22,-0.071268916,,0.040784378,8.62,15,-9.25,2,1770757200.0,121.85,6.90,3.37,4.86423,0.4144567,8.616951,100,121.79,2.79%,24.7809,OTC Markets OTCPK,57418,32.68,,-9.249992,CLOSED,32.676163,,,1770757200.0,4.42,120.87,4.95,85.22 - 129.79,2.79,113.64,4.64,,2025-10-08T20:00,-0.6838608,America/New_York,,PNK,100,120.61,27.271492,-0.83,120.61,27.27,121.37,2026-02-10T16:00,,False,False,4.86,120.67,Equity,,"57,070",121.85,2026-02-10T16:00,Commonwealth Bank of Australia,35.32,2026-02-10,4.42,"57,418",finmb_874262,35.32,LOW,2026-02-10,,120.61 - 121.85,120.54,1770766200.0,25.986515,en-US,EDT,,24.78,4.08%,,,0.060753535,3.37,-7.13%,2026-02-10T16:00,120.67,,USD,CMWAY,4:00PM EDT,2026-02-10,-14400000,113.6362,,100,100,-0.83000183,7.70%,4.63856,121.37,"57,418",121.79,1770766200.0,1770757200.0,100.0,129.79,,6.903801,6128,"57,070",0.076989956,1.672B,,129.79,41.45%,111.92,4.0 - Underperform,2026-02-10T23:30,1270474200000,2026-02-10,2026-02-10,3.6889277,120.54,25.99,False,"6,128",1759968000.0,Delayed Quote,2026-02-10T23:30,"6,128",4.95,3.69,111.92305,"203,369,005,056",120.61 - 121.85,False,6.08%,1773432000,2025-10-08,
51.53,0.16%,26085800,216.705B,USD,15.99%,38.39 - 51.665,38.39,1.48%,Verizon Communications Inc.,us_market,"6,100",0,"4,217,684,168",US,4217684168.0,216704614400.0,15.990841,EQUITY,True,38.39,-0.0055163037,,0.054019354,8.53,15,-0.28,2,1777293000.0,51.67,6.32,2.83,5.24655,0.33836943,8.527401,"1,600",50.95,5.51%,9.793102,NYSE,30999568,24.77,,-0.28499985,CLOSED,24.77,51.46,51.46,1777293000.0,4.06,51.53,2.73,38.39 - 51.67,5.51,45.06,4.91,0.15569875,2026-04-30T20:00,1.48134,America/New_York,,NYQ,"6,100",50.95,12.655173,0.75,50.95,12.66,50.63,2026-04-27T08:30,,False,False,5.25,51.1,Equity,,26.086M,51.665,2026-01-30T08:30,Verizon Communications Inc.,12.990002,2026-04-21,4.06,31M,finmb_415798,12.99,LOW,2026-04-27,,50.95 - 51.665,51.38,1776774600.0,10.456607,en-US,EDT,,9.79,5.40%,,7:59PM EDT,0.14015116,2.83,-0.55%,2026-04-27T08:30,51.10,1773446370.0,USD,VZ,4:00PM EDT,2026-04-27,-14400000,45.0642,0.08,"1,600",6100,0.75,19.90%,4.91364,50.63,"30,999,568",50.95,1776774600.0,1769779800.0,1600.0,51.67,,6.3157997,21769068,"26,085,800",0.19899379,4.218B,0.07999802,51.665,33.84%,42.85,2.2 - Buy,2026-04-21T12:30,438273000000,2026-01-30,2026-04-21,2.0742834,51.38,10.46,False,21.769M,1777593600.0,Nasdaq Real Time Price,2026-04-21T12:30,"21,769,068",2.735,2.07,42.8526,"216,704,614,400",50.95 - 51.67,True,14.02%,1773432002,2026-04-30,Verizon Communications
80.78,,190650,215.622B,EUR,3.35%,71.97 - 95.48,71.97,-1.92%,L'Oreal Co.,us_market,200,0,"2,668,915,140",US,2668915140.0,215621664768.0,3.3500671,EQUITY,False,71.97,-0.15385424,,0.08741046,-7.01,15,-14.69,2,1770930000.0,81.59,-9.09,1.59,3.53205,0.122551054,-7.0057526,900,81.45,1.96%,22.873404,OTC Markets OTCPK,196275,75.44,,-14.690002,CLOSED,75.43788,,,1770930000.0,2.64,80.78,7.20,71.97 - 95.48,1.96,89.88,3.24,,2025-05-28T20:00,-1.9181763,America/New_York,,PNK,200,80.27,30.602272,-1.58,80.27,30.60,82.37,2026-02-12T16:00,,False,False,3.53,80.48,Equity,,"190,650",81.59,2026-02-12T16:00,L'Oréal S.A.,8.82,2026-02-12,2.64,"196,275",finmb_874249,8.82,LOW,2026-02-12,,80.27 - 81.59,80.79,1770930000.0,24.926569,en-US,EDT,,22.87,8.74%,,,-0.10117685,1.59,-15.39%,2026-02-12T16:00,80.48,,USD,LRLCY,4:00PM EDT,2026-02-12,-14400000,89.8842,,900,200,-1.5800018,-7.98%,3.24112,82.37,"196,275",81.45,1770930000.0,1770930000.0,900.0,95.48,,-9.0942,27142,"190,650",-0.07979603,2.669B,,95.48,12.26%,87.80,,2026-02-12T21:00,1176903000000,2026-02-12,2026-02-12,1.0709474,80.79,24.93,False,"27,142",1748476800.0,Delayed Quote,2026-02-12T21:00,"27,142",7.2,1.07,87.79575,"215,621,664,768",80.27 - 81.59,False,-10.12%,1773432000,2025-05-28,
425.00,,880,214.618B,EUR,7.46%,360.0 - 485.61,360.00,-6.42%,L'Oreal Co.,us_market,51,0,"533,783,028",US,533783028.0,214618144768.0,7.4637294,EQUITY,False,360.0,-0.17203102,,0.016758215,-38.00,15,-83.54,2,1770930000.0,420.00,-49.07,8.54,,0.116861135,-38.00403,53,420.0,2.13%,,OTC Markets OTCPK,1893,75.44,,-83.53998,CLOSED,75.43788,,,1770930000.0,13.19,425.0,7.20,360.00 - 485.61,2.13,451.14,,,2019-04-29T20:00,-6.4170017,America/New_York,,PNK,51,419.73,30.482943,-27.57,419.73,30.48,429.64,2026-02-12T16:00,,False,False,,399.0,Equity,,880,420.0,2026-02-12T16:00,L'Oréal S.A.,42.070007,2026-02-13,13.19,"1,893",finmb_874249,42.07,LOW,2026-02-12,,419.73 - 420.0,402.07,1771016400.0,,en-US,EDT,,,1.68%,,,-0.10877681,8.54,-17.20%,2026-02-12T16:00,399.00,,USD,LRLCF,4:00PM EDT,2026-02-12,-14400000,451.144,,53,51,-27.570007,-8.64%,,429.64,"1,893",420.00,1771016400.0,1770930000.0,53.0,485.61,,-49.074005,41,880,-0.086358264,533.783M,,485.61,11.69%,440.07,,2026-02-13T21:00,1272288600000,2026-02-12,2026-02-13,5.329816,402.07,,False,41,1556582400.0,Delayed Quote,2026-02-13T21:00,41,7.2,5.33,440.07404,"214,618,144,768",419.73 - 420.00,False,-10.88%,1773432000,2019-04-29,L'Oréal
299.56,-0.08%,5122590,206.628B,USD,14.19%,220.43 - 387.49,220.43,-0.64%,American Express Company,us_market,120,0,"686,614,005",US,686614005.0,206627930112.0,14.187908,EQUITY,True,220.43,-0.2258897,,0.010864884,-35.18,15,-87.53,2,1776947400.0,305.71,-46.38,3.80,20.11827,0.3607948,-35.18466,120,304.32,1.27%,14.90983,NYSE,3498723,48.80,,-87.53,CLOSED,48.796,299.71,299.7133,1776947400.0,15.39,299.56,3.28,220.43 - 387.49,1.27,346.34,17.57,-0.08224567,2026-05-07T20:00,-0.639313,America/New_York,,NYQ,120,299.84,19.490578,-1.93,299.84,19.49,301.89,2026-04-23T08:30,,False,False,20.12,299.41,Equity,,5.123M,305.71,2026-04-23T08:30,American Express Company,79.53,2026-04-23,15.39,3.499M,finmb_92001,79.53,LOW,2026-04-23,,299.84 - 305.71,299.96,1776947400.0,17.075441,en-US,EDT,,14.91,1.09%,,7:58PM EDT,-0.13391368,3.8,-22.59%,2026-04-23T08:30,299.41,1773446311.0,USD,AXP,4:03PM EDT,2026-04-23,-14400000,346.3396,-0.25,120,120,-1.93002,-10.50%,17.56675,301.89,"3,498,723",304.32,1776947400.0,1776947400.0,120.0,387.49,,-46.37961,2639824,"5,122,590",-0.10498351,686.614M,-0.2467041,387.49,36.08%,335.14,2.4 - Buy,2026-04-23T12:30,76253400000,2026-04-23,2026-04-23,6.147225,299.96,17.08,False,2.64M,1778198400.0,Nasdaq Real Time Price,2026-04-23T12:30,"2,639,824",3.28,6.15,335.14465,"206,627,930,112",299.84 - 305.71,False,-13.39%,1773432182,2026-05-07,
3.79,,20990,202.098B,CNY,68.84%,1.58 - 4.67,1.5800,-0.55%,China Life Insurance Company Li,us_market,100,0,"7,441,175,000",US,7441175000.0,202097868800.0,68.83721,EQUITY,False,1.58,-0.22698076,,0.18953168,0.39,15,-1.06,4,1774468800.0,3.9500,-0.49,0.10,,1.28481,0.3878498,100,3.95,2.68%,,OTC Markets OTCPK,14891,3.22,,-1.0600002,CLOSED,3.2234101,,,1774468800.0,0.88,3.79,0.69,1.58 - 4.67,2.68,4.10,,,2009-08-02T20:00,-0.5509702,America/New_York,,PNK,100,3.95,4.1022725,-0.0200,3.9500,4.10,3.63,2026-03-25T16:00,,False,False,,3.42,Equity,,"20,990",3.95,2026-03-25T16:00,China Life Insurance Company Limited,2.0299997,2025-10-30,0.8800,"14,891",finmb_3661155,2.03,LOW,2026-03-25,,3.95 - 3.95,3.6100,1761822000.0,,en-US,EDT,,,18.95%,,,-0.12049897,0.1,-22.70%,2026-03-25T16:00,3.42,,USD,CILJF,4:00PM EDT,2026-03-25,-14400000,4.1046,,100,100,-0.02000022,12.04%,,3.6300,"14,891",3.9500,1761822000.0,1774468800.0,100.0,4.6700,,-0.49460006,140,"20,990",0.120369874,7.441B,,4.67,128.48%,3.22,,2025-10-30T11:00,1214314200000,2026-03-25,2025-10-30,1.1199319,3.61,,False,140,1249257600.0,Delayed Quote,2025-10-30T11:00,140,0.688,1.12,3.22215,"202,097,868,800",3.95 - 3.95,False,-12.05%,1773432000,2009-08-02,China Life Insurance Company
255.25,,23180,200.376B,EUR,4.95%,185.93 - 325.59,185.93,-4.08%,Siemens AG,us_market,2,0,"780,264,198",US,780264198.0,200376483840.0,4.9504995,EQUITY,False,185.93,-0.21932493,,0.020188678,-19.21,15,-71.41,2,1778702400.0,264.00,-37.68,6.35,11.99,0.36707366,-19.205017,52,264.0,2.50%,21.199333,OTC Markets OTCPK,6463,96.70,,-71.41,CLOSED,96.699936,,,1778702400.0,11.59,255.25,5.35,185.93 - 325.59,2.5,291.86,,,2012-01-24T19:00,-4.0830216,America/New_York,,PNK,2,251.0,21.930975,-10.82,251.00,21.93,265.0,2026-05-13T16:00,,False,False,11.99,249.89,Equity,,"23,180",264.0,2026-05-13T16:00,Siemens Aktiengesellschaft,68.25,2026-02-12,11.59,"6,463",finmb_394038,68.25,LOW,2026-05-13,,251.0 - 264.0,254.18,1770881400.0,,en-US,EDT,,21.20,2.02%,,,-0.1291018,6.35,-21.93%,2026-05-13T16:00,249.89,,USD,SMAWF,4:00PM EDT,2026-05-13,-14400000,291.8596,,52,2,-10.820007,-7.02%,,265.00,"6,463",264.00,1770881400.0,1778702400.0,52.0,325.59,,-37.679596,47,"23,180",-0.07024898,780.264M,,325.59,36.71%,273.39,,2026-02-12T07:30,1302701400000,2026-05-13,2026-02-12,2.6285436,254.18,,False,47,1327449600.0,Delayed Quote,2026-02-12T07:30,47,5.35,2.63,273.385,"200,376,483,840",251.00 - 264.00,False,-12.91%,1773432000,2012-01-24,
366.54,0.08%,2562310,197.412B,USD,15.96%,261.43 - 391.29,261.43,-0.43%,Amgen Inc.,us_market,2,0,"539,067,675",US,539067675.0,197411962880.0,15.959894,EQUITY,True,261.43,-0.06409573,,0.025884338,51.81,15,-25.08,2,1777579200.0,372.98,10.12,10.08,23.2702,0.40079564,51.806183,1,370.68,2.75%,15.737294,NasdaqGS,2847040,16.07,,-25.080017,CLOSED,16.069,366.50,366.5,1777579200.0,14.25,366.54,9.52,261.43 - 391.29,2.75,356.09,22.38,0.07919187,2026-06-04T20:00,-0.429598,America/New_York,,NMS,2,365.93,25.698946,-1.58,365.93,25.70,367.79,2026-04-30T16:00,,False,True,23.27,365.93,Equity,,2.562M,372.98,2026-02-03T16:00,Amgen Inc.,104.78,2026-02-03,14.25,2.847M,finmb_24816,104.78,HIGH,2026-04-30,,365.93 - 372.98,366.21,1770154200.0,16.361084,en-US,EDT,,15.74,2.59%,,6:48PM EDT,0.028419152,10.08,-6.41%,2026-04-30T16:00,365.93,1773442085.0,USD,AMGN,4:00PM EDT,2026-04-30,-14400000,356.0902,0.29,1,2,-1.58002,16.48%,22.38299,367.79,"2,847,040",370.68,1770154200.0,1770152400.0,1.0,391.29,,10.1197815,1500299,"2,562,310",0.16477594,539.068M,0.29000854,391.29,40.08%,314.40,2.5 - Buy,2026-02-03T21:30,424704600000,2026-02-03,2026-02-03,22.789843,366.21,16.36,False,1.5M,1780617600.0,Nasdaq Real Time Price,2026-02-03T21:30,"1,500,299",9.52,22.79,314.4038,"197,411,962,880",365.93 - 372.98,True,2.84%,1773432003,2026-06-04,Amgen
27.71,0.04%,43579190,196.52B,USD,2.09%,22.95 - 29.79,22.95,1.20%,AT&T Inc.,us_market,"6,400",0,"7,000,577,201",US,7000577201.0,196519526400.0,2.0872116,EQUITY,True,22.95,-0.069486454,,0.040525742,0.88,15,-2.07,2,1776861000.0,27.84,1.52,1.11,2.54963,0.20784307,0.8757496,"4,300",27.5,4.00%,10.872166,NYSE,43187620,15.71,,-2.0700016,CLOSED,15.706,27.73,27.73,1776861000.0,3.04,27.71,1.11,22.95 - 29.79,4.0,26.20,2.30,0.036075864,2026-02-01T19:00,1.20482,America/New_York,,NYQ,"6,400",27.495,9.118421,0.33,27.50,9.12,27.39,2026-04-22T08:30,,False,False,2.55,27.71,Equity,,43.579M,27.845,2026-04-22T08:30,AT&T Inc.,4.7699986,2026-04-22,3.04,43.188M,finmb_100231,4.77,LOW,2026-04-22,,27.495 - 27.845,27.72,1776861000.0,12.036891,en-US,EDT,,10.87,4.05%,,8:00PM EDT,0.057853717,1.11,-6.95%,2026-04-22T08:30,27.71,1773446400.0,USD,T,4:00PM EDT,2026-04-22,-14400000,26.204,0.01,"4,300",6400,0.33,3.26%,2.30292,27.39,"43,187,620",27.50,1776861000.0,1776861000.0,4300.0,29.79,,1.5159988,27595358,"43,579,190",0.032623358,7.001B,0.010000229,29.79,20.78%,26.84,1.9 - Buy,2026-04-22T12:30,438273000000,2026-04-22,2026-04-22,1.7649305,27.72,12.04,False,27.595M,1769990400.0,Delayed Quote,2026-04-22T12:30,"27,595,358",1.11,1.76,26.84425,"196,519,526,400",27.50 - 27.84,False,5.79%,1773432008,2026-02-01,AT&T
